policy_id,policy_name,policy_category,description,severity,risk_score,applies_to,trigger_condition,recommended_action,status,created_by,created_date,last_updated
POL-0001,High Value Approval Required,Purchase Approval,Purchase orders exceeding defined value thresholds require multi-level executive approval before processing.,Critical,99,Purchase Order,"PO amount exceeds employee approval limit or INR 50,00,000",Route PO to next approval level and notify Finance Controller,Active,System,2025-05-19,2026-01-27
POL-0002,Approval Limit Enforcement,Purchase Approval,Ensures approvers cannot authorize purchase orders or invoices exceeding their sanctioned approval limit.,High,79,Purchase Order,Approval action attempted where amount > approver max_approval_limit_inr,Block approval and escalate to higher authority,Active,System,2024-04-17,2024-08-07
POL-0003,Blacklisted Vendor Restriction,Vendor Compliance,"Prevents any purchase order, invoice, or payment activity involving vendors marked as blacklisted.",Critical,90,Vendor,"vendor_status = Blacklisted on referenced PO, invoice, or transaction",Block transaction and notify Compliance and Procurement teams,Active,System,2023-09-02,2024-08-04
POL-0004,Duplicate Invoice Detection,Invoice Validation,"Identifies invoices submitted more than once for the same vendor, PO, and amount.",High,84,Invoice,"Two or more invoices share vendor_id, purchase_order_id and total_amount_inr within 30 days",Hold invoice for manual review and notify AP team,Active,System,2021-07-12,2022-03-12
POL-0005,Invoice Amount Mismatch,Invoice Validation,Flags invoices where the invoiced amount deviates materially from the associated purchase order amount.,Medium,44,Invoice,abs(invoice_amount_inr - po_amount_inr) / po_amount_inr > 10%,Route invoice to procurement for reconciliation,Active,System,2024-01-09,2025-03-13
POL-0006,Three-Way Match Validation,Invoice Validation,"Validates that purchase order, goods/invoice receipt, and vendor invoice details are consistent before payment.",High,66,Invoice,match_status != Matched at time of payment initiation,Suspend payment until three-way match is completed,Active,System,2023-03-23,2023-11-24
POL-0007,Vendor Risk Threshold,Vendor Compliance,Monitors vendors whose risk_category is High and flags continued transaction activity.,Medium,55,Vendor,vendor risk_category = High and transaction_count > 5 in quarter,Trigger enhanced due diligence review,Active,System,2024-08-24,2024-11-27
POL-0008,Round Number Payment Detection,Fraud Detection,"Detects payments made in unusually round amounts, a common indicator of manual manipulation or fraud.",Medium,54,"Transaction, Invoice","transaction_amount_inr is a multiple of 50,000 with no fractional value",Flag transaction for manual fraud review,Active,System,2023-12-19,2024-02-04
POL-0009,Weekend Payment Monitoring,Transaction Monitoring,Monitors payment transactions initiated on Saturdays or Sundays outside standard processing cycles.,Low,11,Transaction,transaction_date falls on Saturday or Sunday,Log event and include in weekly exception report,Active,System,2022-05-11,2023-03-29
POL-0010,After Hours Transaction Detection,Access Control,Detects system activity and financial transactions occurring outside standard business hours.,Medium,35,Employee,created_at timestamp between 21:00 and 06:00 local time,Flag session and notify IT Security for verification,Active,System,2022-10-31,2023-06-28
POL-0011,Foreign Currency Payment Review,Payment Compliance,Reviews payments made in a currency different from the invoice's designated currency.,Medium,53,Transaction,transaction currency != invoice currency for same invoice_id,Escalate to Treasury for FX exposure and compliance review,Active,System,2023-11-30,2024-04-12
POL-0012,Duplicate Payment Detection,Payment Compliance,Detects multiple completed payments issued against the same invoice for the full invoice amount.,Critical,94,Transaction,More than one Completed transaction with amount = invoice total for same invoice_id,Reverse duplicate payment and notify Finance Controller,Active,System,2024-09-18,2024-11-15
POL-0013,Late Payment Monitoring,Payment Compliance,Tracks payments made significantly after the invoice due date.,Low,24,Transaction,transaction_date - due_date > 45 days,Notify AP manager and review vendor payment terms,Active,System,2023-04-14,2024-02-05
POL-0014,Payment After Invoice Cancellation,Fraud Detection,"Detects payments processed against invoices that were rejected, disputed, or cancelled.",Critical,87,"Transaction, Invoice","transaction exists for invoice_status in (Rejected, Disputed, Cancelled)",Immediately freeze payment and escalate to Compliance and Legal,Active,System,2022-10-08,2023-11-15
POL-0015,Suspicious Multiple Payments,Fraud Detection,Identifies vendors receiving an unusually high number of payments within a short time window.,High,72,"Transaction, Invoice",More than 3 transactions to same vendor_id within 48 hours,Flag vendor account for fraud investigation,Active,System,2021-03-02,2021-04-21
POL-0016,Rapid Sequential Payments,Transaction Monitoring,Detects multiple transactions processed in rapid succession by the same approver.,Medium,53,Transaction,3 or more transactions approved by same employee within 10 minutes,Review approver activity log for irregularities,Active,System,2023-04-01,2023-06-10
POL-0017,Vendor Bank Account Change Review,Vendor Compliance,Requires review whenever a vendor's bank account or IFSC details are modified.,High,74,Vendor,Vendor Updated audit event with change to bank_account_number or ifsc_code,Require secondary verification before next payment release,Active,System,2021-02-04,2022-04-28
POL-0018,Inactive Vendor Transaction,Vendor Compliance,Flags transactions or purchase orders raised against vendors marked Inactive or Suspended.,High,65,Vendor,"vendor_status in (Inactive, Suspended) with associated PO, invoice or transaction",Block transaction and require vendor reactivation approval,Active,System,2021-04-18,2021-12-29
POL-0019,Employee Role Escalation,Access Control,Monitors unexpected changes to employee approval levels or system roles.,High,77,Employee,Role Changed event increases approval_level beyond normal progression,Notify HR and Internal Audit for validation,Inactive,System,2023-03-25,2023-11-09
POL-0020,Segregation of Duties,Segregation of Duties,"Ensures the same employee cannot request, approve, and pay for the same purchase order or invoice.",Critical,87,"Purchase Order, Invoice","requested_by, approved_by, or verified_by employee_id overlaps across PO/invoice/transaction chain",Block action and reassign to independent approver,Active,System,2022-02-11,2023-03-31
POL-0021,Manual Payment Override,Payment Compliance,Detects payments processed through manual override outside standard approval workflow.,Critical,93,Transaction,Payment Initiated audit event with status Warning and override flag present,Escalate to Finance Controller for justification review,Active,System,2022-09-30,2023-04-03
POL-0022,Frequent Failed Login Monitoring,Access Control,Monitors repeated failed login attempts that may indicate credential compromise.,Medium,35,Employee,3 or more Failed status User Login events for same employee_id within 1 hour,Lock account temporarily and notify IT Security,Inactive,System,2025-04-02,2026-07-09
POL-0023,Critical Audit Event Escalation,Audit Compliance,Ensures all audit log entries marked Critical severity are escalated for immediate review.,High,69,Audit Log,audit_logs severity = Critical,Auto-escalate to Compliance Officer within 1 hour,Active,System,2021-07-26,2021-08-15
POL-0024,Large Cash Flow Alert,Financial Reporting,Alerts Finance leadership to unusually large aggregate outbound payment volumes in a given period.,High,66,"Transaction, Invoice","Sum of daily transaction_amount_inr exceeds INR 5,00,00,000",Notify CFO and generate cash flow exception report,Active,System,2023-09-25,2024-01-08
POL-0025,Compliance Report Generation,Financial Reporting,Ensures periodic compliance and audit reports are generated and distributed on schedule.,Low,31,"Transaction, Invoice",Scheduled reporting date reached without corresponding Report Generated audit event,Trigger automated report generation and notify Compliance team,Active,System,2023-07-06,2024-04-06
